Name	Pfad	de	en	fr	it
help	/rdmo/question[23]/help				
text	/rdmo/question[23]/text	Wann endet die Erhebung bzw. Erstellung der Daten?	When does data collection or creation end?	Quand la collecte ou la création de données prend-elle fin ?	Quando termina la raccolta o la creazione dei dati?
verbose_name	/rdmo/question[23]/verbose_name				
verbose_name_plural	/rdmo/question[23]/verbose_name_plural				
help	/rdmo/question[24]/help				
text	/rdmo/question[24]/text	Wann beginnt die Datenbereinigung / -aufbereitung?	When does data cleansing / data preparation start?	Quand commence le nettoyage / la préparation des données ?	Quando inizia la pulizia / la preparazione dei dati?
verbose_name	/rdmo/question[24]/verbose_name				
verbose_name_plural	/rdmo/question[24]/verbose_name_plural				
help	/rdmo/question[25]/help				
text	/rdmo/question[25]/text	Wann endet die Datenbereinigung / -aufbereitung?	When does data cleansing / data preparation end?	Quand se termine le nettoyage / la préparation des données ?	Quando termina la pulizia / la preparazione dei dati?
verbose_name	/rdmo/question[25]/verbose_name				
verbose_name_plural	/rdmo/question[25]/verbose_name_plural				
help	/rdmo/question[26]/help				
text	/rdmo/question[26]/text	Wann beginnt die Datenanalyse?	When does data analysis start?	Quand l'analyse des données commence-t-elle ?	Quando inizia l'analisi dei dati?
verbose_name	/rdmo/question[26]/verbose_name				
verbose_name_plural	/rdmo/question[26]/verbose_name_plural				
help	/rdmo/question[27]/help				
text	/rdmo/question[27]/text	Wann endet die Datenanalyse?	When does data analysis end?	Quand l'analyse des données prend-elle fin ?	Quando termina l'analisi dei dati?
verbose_name	/rdmo/question[27]/verbose_name				
verbose_name_plural	/rdmo/question[27]/verbose_name_plural				
title	/rdmo/questionset[14]/title	Datengröße	Data size	Volume des données	Volume dei dati
help	/rdmo/questionset[14]/help				
verbose_name	/rdmo/questionset[14]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[14]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[28]/help				
text	/rdmo/question[28]/text	Was ist die tatsächliche oder erwartete Größe des Datensatzes?	What is the actual or expected size of the dataset?	Quelle est la taille actuelle ou attendue du jeu de données ?	Qual è il volume reale o atteso dei dati?
verbose_name	/rdmo/question[28]/verbose_name				
verbose_name_plural	/rdmo/question[28]/verbose_name_plural				
help	/rdmo/question[29]/help	Optional. Dies ist nur relevant, wenn das Wachstum die TB-Größenordnung erreicht.	Optional. This is only of concern if the data production rate reaches TB scale.	Optionnel. Cela n'est concerné que si le taux de production des données atteint l'échelle de TB.	Opzionale. Questo è rilevante solo se il tasso di produzione dei dati raggiunge l'ordine dei TB.
text	/rdmo/question[29]/text	Wie hoch ist die erwartete Erzeugungsrate der Daten pro Jahr?	How much data is produced per year?	Combien de données sont produites par an ?	Quanti dati vengono prodotti in un anno?
verbose_name	/rdmo/question[29]/verbose_name				
verbose_name_plural	/rdmo/question[29]/verbose_name_plural				
title	/rdmo/questionset[15]/title	Formate	Formats	Formats	Formati
help	/rdmo/questionset[15]/help				
verbose_name	/rdmo/questionset[15]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[15]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[30]/help	"Bei der Wahl des Dateiformates sollten auch die Konsequenzen für die kollaborative Nutzung, die Langzeitarchivierung sowie die Nachnutzung beachtet werden.
Es empfiehlt sich, möglichst standardisierte, nicht-proprietäre und allgemein bzw. in der spezifischen Community verbreitete Formate zu nutzen. Weitere Kriterien sowie detaillierte Erläuterungen sind z.B. im <a href=""https://www.forschungsdaten.org/images/b/b0/Leitfaden_Data-Management-WissGrid.pdf"" target=""_blank"">WissGrid-Leitfaden, S. 22 f.</a> zu finden.
"	"When choosing a data format, one should consider the consequences for collaborative use, long-term preservation as well as re-use.
It is advisable to prefer formats that are standardised, open, non-proprietary and well-established in the respective scholarly community.
		"	"Lors du choix d'un format de données, il convient de tenir compte des conséquences pour l'utilisation collaborative, la conservation à long terme ainsi que la réutilisation.
Il est conseillé de préférer des formats standardisés, ouverts, non propriétaires et bien établis dans la communauté respective.
"	"Nella scelta di un formato di dati bisogna tenere conto delle consequenze per l'utilizzo condiviso, la conservazione a lungo termine e il riutilizzo. Si raccomanda di usare dove possibile dei formati standard, aperti e generici o per lo meno ben stabiliti nella comunità rispettiva.
"
text	/rdmo/question[30]/text	In welchen Formaten liegen die Daten vor?	Which file formats are used?	Quels formats de fichiers sont utilisés ?	Quali formati di file vengono utilizzati?
verbose_name	/rdmo/question[30]/verbose_name				
verbose_name_plural	/rdmo/question[30]/verbose_name_plural				
title	/rdmo/questionset[16]/title	Werkzeuge	Tools	Outils	Strumenti
help	/rdmo/questionset[16]/help				
verbose_name	/rdmo/questionset[16]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[16]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[31]/help	"Diese Informationen sind für alle Arten von Daten relevant, um ihre Genese nachvollziehen zu können. Bei reproduzierbaren Daten kommt ein weiterer Aspekt hinzu.
Diese müssen nicht notwendigerweise aufbewahrt werden - allerdings müssen alle Geräte, Software und auch Informationen über die Vorgehensweise erhalten bleiben, die notwendig sind, um die Daten erneut erstellen zu können.
"	"This information is necessary to be able to reconstruct the process by which the data was generated. It is also a prerequisite to judge the objectivity, reliability and validity of the dataset.
For reproducible data, it is also required to re-generate the data if necessary.
"	"Ces informations sont nécessaires pour pouvoir reconstruire le processus par lequel les données ont été générées. C'est également une condition préalable pour juger de l'objectivité, de la fiabilité et de la validité du jeu de données.
Pour les données reproductibles, elles sont également indispensables pour recréer les données si nécessaire.
"	"Queste informazioni sono necessarie per poter ricostruire la procedura di generazione dei dati. Sono altresì un prerequisito per valutare l'obiettività, l'affidabilità e la validità della raccolta di dati.
Per i dati riproducibili, sono anche indispensabili per ricreare i dati in caso di necessità.
"
text	/rdmo/question[31]/text	Welche Instrumente, Software, Technologien oder Verfahren werden zur Erzeugung oder Erfassung der Daten genutzt?	Which tools, software, technologies or processes are used to generate or collect the data?	Quels outils, logiciels, technologies ou processus sont utilisés pour générer ou collecter les données ?	Quali strumenti, programmi, tecnologie o processi vensono utilizzati per generare o raccogliere i dati?
verbose_name	/rdmo/question[31]/verbose_name				
verbose_name_plural	/rdmo/question[31]/verbose_name_plural				
help	/rdmo/question[32]/help	"Um Daten nachnutzen zu können, bspw. für die Replikation von Studien, Metaanalysen oder die Beantwortung neuer Forschungsfragen, werden neben den Daten selbst auch die Software, Geräte etc. und das Wissen über spezielle Verfahren zur Nutzung benötigt.
Ebenso wie bei den Formaten gilt hier: je standardisierter, offener und etablierter diese sind, desto einfacher ist i.d.R. eine Nachnutzung möglich.
"	"To be able to re-use data (e.g. to replicate studies, for meta analysis or to solve new research questions), along with the data the software, equipment and knowledge about special methods to use the data are required.
Just as with the formats, the recommendation is: the more standardised, open and established, the better for re-use.
"	"Pour pouvoir réutiliser les données (par exemple pour répliquer des études, pour une méta-analyse ou pour résoudre de nouvelles questions de recherche), ainsi que les données, le logiciel, l'équipement et les connaissances sur les méthodes spéciales d'utilisation des données sont nécessaires.
Tout comme pour les formats, la recommandation est: plus ils sont standardisés, ouverts et établis, mieux ils sont réutilisables.
"	"Per poter riutilizzare i dati (es. Per replicare studi, eseguire una metaanalisi o per affrontare nuovi argomenti di ricerca), insieme ai dati sono necessari i programmi, l'attrezzatura e conoscenze specifiche sui metodi di riuso dei dati.
Analogamente ai formati, si raccomanda di adottare metodi il più standard, aperti e diffusi possibile.
"
text	/rdmo/question[32]/text	Welche Software, Verfahren oder Technologien sind notwendig, um die Daten zu nutzen?	Which software, processes or technologies are necessary to use the data?	Quels logiciels, processus ou technologies sont nécessaires pour utiliser les données ?	Quali programmi, processi o tecnologie sono necessari per utilizzare i dati?
verbose_name	/rdmo/question[32]/verbose_name				
verbose_name_plural	/rdmo/question[32]/verbose_name_plural				
help	/rdmo/question[33]/help				
text	/rdmo/question[33]/text	Wird die Dokumentation von ggf. zur Nutzung notwendiger Software benötigt, um die Daten zu nutzen?	Is documentation about relevant software needed to use the data?	Une documentation sur les logiciels pertinents est-elle nécessaire pour utiliser les données ?	È necessaria una documentazione sui programmi adatti per poter utilizzare i dati?
verbose_name	/rdmo/question[33]/verbose_name				
verbose_name_plural	/rdmo/question[33]/verbose_name_plural				
title	/rdmo/questionset[17]/title	Versionierung	Versioning	Gestion de versions	Controllo di versione
help	/rdmo/questionset[17]/help				
verbose_name	/rdmo/questionset[17]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[17]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[34]/help				
text	/rdmo/question[34]/text	Werden verschiedene Versionen des Datensatzes erzeugt?	Are different versions of the dataset created?	Des versions différentes du jeu de données sont-elles créées ?	Questa raccolta di dati viene creata in più versioni?
verbose_name	/rdmo/question[34]/verbose_name				
verbose_name_plural	/rdmo/question[34]/verbose_name_plural				
help	/rdmo/question[35]/help	"Bitte beschreiben Sie hier kurz projektinterne Regelungen zur Versionierung von Datensätzen
(z.B.: Welche Änderungen machen eine neue Version erforderlich? Wie werden die Änderungen dokumentiert? Wie werden die verschiedenen Versionen benannt?)
"	"Please briefly describe the project-internal regulations for the versioning of data sets
(e.g.: What kind of changes require a new version? How are changes documented? What are the naming rules for different versions?)
"	"Veuillez décrire brièvement les réglementations internes au projet pour la gestion des versions des jeux de données
(par exemple: quels types de modifications nécessitent une nouvelle version ? Comment les modifications sont-elles documentées ? Quelles sont les règles de dénomination pour les différentes versions ?)
"	"Si prega di descrivere brevemente le regole interne al progetto per la gestione delle versioni della raccolta di dati (per esempio: quali modifiche implicano il rilascio di una nuova versione? Come vengono documentate le modifiche? Quali sono le regole per la denominazione delle diverse versioni?)
"
text	/rdmo/question[35]/text	Welche Versionierungsstrategie wird für diesen Datensatz angewandt?	Which versioning strategy is applied for this dataset?	Quelle stratégie de version est appliquée pour cet jeu de données ?	Quale strategia viene utilizzata per il controllo di versione di questa raccolta dati?
verbose_name	/rdmo/question[35]/verbose_name				
verbose_name_plural	/rdmo/question[35]/verbose_name_plural				
help	/rdmo/question[36]/help				
text	/rdmo/question[36]/text	Welche Technologie bzw. welches Tool wird zur Versionierung verwendet?	Which technology or tool is used for versioning?	Quelle technologie ou quel outil est utilisé(e) pour le contrôle de version ?	Quale tecnologia o strumento viene utilizzato per il controllo di versione?
verbose_name	/rdmo/question[36]/verbose_name				
verbose_name_plural	/rdmo/question[36]/verbose_name_plural				
title	/rdmo/section[4]/title	Datennutzung	Data usage	Utilisation de données	Utilizzo dei dati
title	/rdmo/questionset[18]/title	Nutzungsszenarien	Usage scenarios	Scénarios d'utilisation	Scenari per l'utilizzo
help	/rdmo/questionset[18]/help	"Die folgenden Fragen dienen dazu einzuschätzen, welche Ressourcen für die geplante Nutzung der Daten während der Projektlaufzeit nötig sind.
Dabei kann es sich um technische bzw. IT-Ressourcen handeln, aber auch um Expertise, die z.B. Datenmanagement- oder IT-ExpertInnen eingebracht wird.
"	"The following questions will help to estimate, which ressources are necessary to enable the envisioned data usage scenarios during the project.
These can be technical / IT resources as well as expertise brought in by e.g. data	management or IT experts.
"	"Les questions suivantes aideront à estimer les ressources nécessaires pour permettre les scénarios d'utilisation des données envisagés pendant le projet.
Il peut s'agir de ressources techniques / informatiques ainsi que de l'expertise 	apportée par ex. experts en gestion de données ou en informatique.
"	"Le domande seguenti aiutano a stimare le risorse necessarie all’utilizzo dei dati nel corso del progetto.
Queste possono essere risorse tecniche o informatiche, ma anche l’utilizzo delle competenze di esperti in gestione dei dati o informatica.
"
verbose_name	/rdmo/questionset[18]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[18]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[37]/help				
text	/rdmo/question[37]/text	Wozu / wie wird dieser Datensatz während des Projektes genutzt?	How / for what purpose will this dataset be used during the project?	Comment / pour quel but ce jeu de données sera-t-il utilisé pendant le projet ?	Come / con che scopo questa raccolta dati viene utilizzata durante il progetto?
verbose_name	/rdmo/question[37]/verbose_name				
verbose_name_plural	/rdmo/question[37]/verbose_name_plural				
help	/rdmo/question[38]/help				
text	/rdmo/question[38]/text	Wie häufig wird dieser Datensatz genutzt?	How often will this dataset be used?	À quelle fréquence ce jeu de données sera-t-il utilisé ?	Con che frequenza viene usata questa raccolta di dati?
verbose_name	/rdmo/question[38]/verbose_name				
verbose_name_plural	/rdmo/question[38]/verbose_name_plural				
help	/rdmo/question[39]/help				
text	/rdmo/question[39]/text	In welchem Umfang werden Infrastrukturressourcen benötigt (CPU-Stunden, Bandbreite, Speicherplatz etc.)?	To what extent will infrastructure resources be required (e.g. CPU hours, bandwidth, storage space... etc.).	Dans quelle mesure les ressources d'infrastructure seront-elles nécessaires (par exemple, heures CPU, bande passante, espace de stockage ... etc.).	In che quantità verranno utilizzate risorse informatiche (ore di processore, larghezza di banda, spazio di stoccaggio ecc.)?

verbose_name	/rdmo/question[39]/verbose_name				
verbose_name_plural	/rdmo/question[39]/verbose_name_plural				
help	/rdmo/question[40]/help				
text	/rdmo/question[40]/text	Gibt es beabsichtigte (ggf. auch potentielle) Nutzungsszenarien, für die die Unterstützung durch Datenmanagement- oder IT-ExpertInnen sinnvoll oder notwendig ist?	Are there actual or potential usage scenarios that could benefit from support by a data management or IT expert, or that even require such support?	Existe-t-il des scénarios d'utilisation réels ou potentiels qui pourraient bénéficier de l'assistance d'un expert en gestion de données ou en informatique, ou qui nécessitent même une telle assistance ?	Esistono scenari di riutilizzo reali o potenziali che potrebbero giovare dell'assistenza di un esperto di gestione dei dati o di informatica, o per i quali quest'assistenza è necessaria?
verbose_name	/rdmo/question[40]/verbose_name				
verbose_name_plural	/rdmo/question[40]/verbose_name_plural				
title	/rdmo/questionset[19]/title	Datenorganisation	Data organisation	Organisation des données	Organizzazione dei dati
help	/rdmo/questionset[19]/help				
verbose_name	/rdmo/questionset[19]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[19]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[41]/help				
text	/rdmo/question[41]/text	Wo wird der Datensatz während des Projektes gespeichert?	Where is the dataset stored during the project?	Où le jeu de données est-il stocké pendant le projet ?	Dove viene salvata la raccolta di dati durante il progetto?
verbose_name	/rdmo/question[41]/verbose_name				
verbose_name_plural	/rdmo/question[41]/verbose_name_plural				
help	/rdmo/question[42]/help				
text	/rdmo/question[42]/text	Unter welcher URL kann der Datensatz während des Projektes abgerufen werden?	Under which URL can the dataset be accessed during the project?	Sous quelle URL le jeu de données peut-il être consulté pendant le projet ?	A che URL è possibile consultare la raccolta di dati durante il progetto?
verbose_name	/rdmo/question[42]/verbose_name				
verbose_name_plural	/rdmo/question[42]/verbose_name_plural				
help	/rdmo/question[43]/help				
text	/rdmo/question[43]/text	Gibt es projektinterne Richtlinien zur einheitlichen Organisation der Daten? Wenn ja, wo sind diese festgehalten?	Are there internal project guidelines for a consistent organisation of the data? If so, where are they documented?	Existe-t-il des directives internes du projet pour une organisation cohérente des données ? Si oui, où sont-elles documentées ?	Esistono linee guida interne al progetto per un'organizzazione coerente dei dati? In caso affermativo, dove sono documentate?
verbose_name	/rdmo/question[43]/verbose_name				
verbose_name_plural	/rdmo/question[43]/verbose_name_plural				
help	/rdmo/question[44]/help				
text	/rdmo/question[44]/text	Gibt es eine projektinterne Richtlinie zur Benennung der Daten? Wenn ja, bitte skizzieren Sie sie kurz und verlinken Sie ggf. zu einer ausführlicheren Dokumentation.	Is there a internal project guideline for naming the data? If so, please briefly outline the naming conventions and, if necessary, link to the documentation.	Existe-t-il une directive de projet interne pour nommer les données ? Dans l'affirmative, veuillez décrire brièvement les conventions de dénomination et, si nécessaire, un lien vers la documentation.	Esiste una linea guida interna al progetto per la denominazione dei dati? In caso affermativo, si prega di descrivere succintamente le convenzioni per i nomi e di aggiungere un collegamento ipertestuale verso la documentazione.
verbose_name	/rdmo/question[44]/verbose_name				
verbose_name_plural	/rdmo/question[44]/verbose_name_plural				
title	/rdmo/questionset[20]/title	Datenspeicherung und -sicherheit	Data storage and security	Stockage et sécurité des données	Stoccaggio e sicurezza dei dati
help	/rdmo/questionset[20]/help				
verbose_name	/rdmo/questionset[20]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[20]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[45]/help	z.B. Projektmitglieder, Projektpartner, nur Interne, externe Partner	e.g. project members, partners of the project, only in-house, external partners	ex. les membres du projet, les partenaires du projet, seulement à l’intérieur de l’institution, les partenaires extérieurs	es. i membri del progetto, i partner del progetto, solamente all’interno dell’istituzione, i partner esterni
text	/rdmo/question[45]/text	Wer darf auf den Datensatz zugreifen?	Who is allowed to access the dataset?	Qui est autorisé à accéder au jeu de données ?	Chi è autorizzato ad accedere alla raccolta di dati?
verbose_name	/rdmo/question[45]/verbose_name				
verbose_name_plural	/rdmo/question[45]/verbose_name_plural				
help	/rdmo/question[46]/help	Die Frage bezieht sich auf Backups während der Zeit, in denen mit den Daten gearbeitet wird. Fragen der Langzeitarchivierung werden gesondert im entsprechenden Abschnitt behandelt.	This question refers to backups while the data is being worked with. Questions of long-term preservation will be adressed in the respective section.	Cette question fait référence aux sauvegardes pendant le traitement des données. Les questions de conservation à long terme seront traitées dans la section correspondante.	Questa domanda si riferisce alle copie di sicurezza nella fase in cui i dati vengono utilizzati e modificati. Domande relative al salvataggio a lungo termine vengono trattate nella sezione corrispondente.

text	/rdmo/question[46]/text	Wie und wie oft werden Backups der Daten erstellt?	How and how often will backups of the data be created?	Comment et à quelle fréquence les sauvegardes des données seront-elles créées ?	In che modo e con che frequenza verranno create delle copie di sicurezza dei dati?
verbose_name	/rdmo/question[46]/verbose_name				
verbose_name_plural	/rdmo/question[46]/verbose_name_plural				
help	/rdmo/question[47]/help	Die Frage bezieht sich auf Backups während der Zeit, in denen mit den Daten gearbeitet wird. Fragen der Langzeitarchivierung werden gesondert im entsprechenden Abschnitt behandelt.	This question refers to backups while the data is being worked with. Questions of long-term preservation will be adressed in the respective section.	Cette question fait référence aux sauvegardes pendant le traitement des données. Les questions de conservation à long terme seront traitées dans la section correspondante.	Questa domanda si riferisce alle copie di sicurezza nella fase in cui i dati vengono utilizzati e modificati. Domande relative all salvataggio a lungo termine vengono trattate nella sezione corrispondente.
text	/rdmo/question[47]/text	Wer ist verantwortlich für die Erstellung der Backups?	Who is responsible for the backups?	Qui est responsable des sauvegardes ?	Chi è il responsabile per le copie di sicurezza?
verbose_name	/rdmo/question[47]/verbose_name				
verbose_name_plural	/rdmo/question[47]/verbose_name_plural				
help	/rdmo/question[48]/help				
text	/rdmo/question[48]/text	Welche Maßnahmen zur Gewährleistung der Datensicherheit werden getroffen (z. B. Schutz vor unbefugtem Zugriff, Datenwiederherstellung, Übertragung sensibler Daten)?	Which measures or provisions are in place to ensure data security (e.g. protection against unauthorized access, data recovery, transfer of sensitive data)?	Quelles mesures ou dispositions sont en place pour garantir la sécurité des données (par exemple, la protection contre les accès non autorisés, la récupération de données, le transfert de données sensibles) ?	Quali misure vengono adottate per garantire la sicurezza dei dati (per esempio: protezione contro accessi non autorizzati, recupero dei dati eliminati, trasferimento di dati sensibili)?
verbose_name	/rdmo/question[48]/verbose_name				
verbose_name_plural	/rdmo/question[48]/verbose_name_plural				
title	/rdmo/questionset[21]/title	Interoperabilität	Interoperability	Interopérabilité	Interoperabilità
help	/rdmo/questionset[21]/help				
verbose_name	/rdmo/questionset[21]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[21]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[49]/help				
text	/rdmo/question[49]/text	Ist der Datensatz interoperabel, d.h. geeignet für den Datenaustausch und die Nachnutzung zwischen bzw. von unterschiedlichen Forschenden, Institutionen, Organisationen und Ländern?	Is this dataset interoperable, i.e. allowing data exchange and re-use between researchers, institutions, organisations, countries etc.?	Ce jeu de données est-il interopérable, c'est-à-dire permettant l'échange et la réutilisation de données entre chercheurs, institutions, organisations, pays, etc. ?	Questa raccolta di dati è interoperabile, ovvero permette lo scambio e il riutilizzo dei dati tra ricercatori, istituizoni, organizzazioni, Paesi?
verbose_name	/rdmo/question[49]/verbose_name				
verbose_name_plural	/rdmo/question[49]/verbose_name_plural				
title	/rdmo/questionset[22]/title	Weitergabe und Veröffentlichung	Data sharing and re-use	Partage et réutilisation des données	Condivisione e riutilizzo dei dati
help	/rdmo/questionset[22]/help				
verbose_name	/rdmo/questionset[22]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[22]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[50]/help				
text	/rdmo/question[50]/text	Soll dieser Datensatz veröffentlicht oder geteilt werden?	Will this dataset be published or shared?	Ce jeu de données sera-t-il publié ou partagé ?	Questa raccolta di dati verrà pubblicata o condivisa?
verbose_name	/rdmo/question[50]/verbose_name				
verbose_name_plural	/rdmo/question[50]/verbose_name_plural				
help	/rdmo/question[51]/help				
text	/rdmo/question[51]/text	Wenn nicht, begründen Sie dies bitte und unterscheiden Sie dabei zwischen rechtlichen und/oder vertraglichen Gründen und freiwilligen Einschränkungen.	If no, please explain why not. Please differentiate between legal and contractual reasons and voluntary restrictions.	Si non, veuillez expliquer pourquoi. Veuillez différencier les raisons légales et contractuelles des restrictions volontaires.	In caso negativo, si prega di spiegare perché, distinguendo tra ragioni legali o contrattuali e restrizioni volontarie.
verbose_name	/rdmo/question[51]/verbose_name				
verbose_name_plural	/rdmo/question[51]/verbose_name_plural				
help	/rdmo/question[52]/help	"Die Auswahlmöglichkeiten orientieren sich an Lizenzen der <a href=""https://creativecommons.org/licenses/?lang=de"" target=""_blank"">Creative-Commons-Familie</a>."	"The options refer to the licenses of the <a href=""https://creativecommons.org/licenses/?lang=en"" target=""_blank"">Creative Commons family</a>."	"Les options se réfèrent aux licences de la famille <a href=""creativecommons.org.https://creativecommons.org/licenses/ ?lang=fr"" target=""_blank"">Creative Commons</a>."	"Le possibilità offerte si orientano allla famiglia di licenze <a href=""https://creativecommons.org/licenses/?lang=it"" target=""_blank"">Creative Commons</a>."
text	/rdmo/question[52]/text	Wenn ja, unter welchen Nutzungsbedingungen oder welcher Lizenz sollen die Daten veröffentlicht bzw. geteilt werden?	If yes, under which terms of use or license will the dataset be published or shared?	Si oui, selon quelles conditions d'utilisation ou de licence le jeu de données sera-t-il publié ou partagé ?	In caso affermativo, sotto quali condizioni di utilizzo o quale licenza verrà pubblicata o condivisa la raccolta di dati?
verbose_name	/rdmo/question[52]/verbose_name				
verbose_name_plural	/rdmo/question[52]/verbose_name_plural				
help	/rdmo/question[53]/help				
text	/rdmo/question[53]/text	Sollte die Nachnutzung dieses Datensatzes Einschränkungen unterliegen, erläutern Sie bitte die Gründe.	If there are any restrictions on the re-use of this dataset, please explain why.	S'il existe des restrictions sur la réutilisation de ce jeu de données, veuillez expliquer pourquoi.	Se ci sono restrizioni sul riutilizzo di questa raccolta di dati, si prega di giustificarle.
verbose_name	/rdmo/question[53]/verbose_name				
verbose_name_plural	/rdmo/question[53]/verbose_name_plural				
help	/rdmo/question[54]/help				
text	/rdmo/question[54]/text	Wann werden die Daten veröffentlicht?	When will the data be published (if they are)?	Quand les données seront-elles publiées (si elles le sont) ?	Quando verranno pubblicati i dati?
verbose_name	/rdmo/question[54]/verbose_name				
verbose_name_plural	/rdmo/question[54]/verbose_name_plural				
title	/rdmo/questionset[23]/title	Kollaboratives Arbeiten	Collaborative work	Travail collaboratif	Lavoro collaborativo
help	/rdmo/questionset[23]/help				
verbose_name	/rdmo/questionset[23]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[23]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[55]/help				
text	/rdmo/question[55]/text	Werden die Daten kollaborativ genutzt?	Will the data be collaboratively used?	Les données seront-elles utilisées en collaboration ?	I dati vengono utilizzati in modo cooperativo?
verbose_name	/rdmo/question[55]/verbose_name				
verbose_name_plural	/rdmo/question[55]/verbose_name_plural				
help	/rdmo/question[56]/help				
text	/rdmo/question[56]/text	Welche Plattform, welche Werkzeuge werden zum kollaborativen Arbeiten an Daten und Publikationen genutzt?	Which platform / tools is / are used for collaboratively working on data and publications?	Quelle plateforme / quels outils sont utilisés pour travailler en collaboration sur les données et les publications ?	Quale piattaforma, quali strumenti sono utilizzati per il lavoro collaborativo su dati e pubblicazioni?
verbose_name	/rdmo/question[56]/verbose_name				
verbose_name_plural	/rdmo/question[56]/verbose_name_plural				
help	/rdmo/question[57]/help				
text	/rdmo/question[57]/text	Wie ist das kollaborative Arbeiten an denselben Dateien geregelt?	How is the collaborative work on the same files organised?	Comment le travail collaboratif sur les mêmes fichiers est-il organisé ?	In che modo è organizzato il lavoro collaborativo sui documenti condivisi?
verbose_name	/rdmo/question[57]/verbose_name				
verbose_name_plural	/rdmo/question[57]/verbose_name_plural				
title	/rdmo/questionset[24]/title	Qualitätssicherung	Quality assurance	Contrôle de la qualité	Controllo qualità
help	/rdmo/questionset[24]/help				
verbose_name	/rdmo/questionset[24]/verbose_name	Datensatz	dataset	jeu de données	raccolta di dati
verbose_name_plural	/rdmo/questionset[24]/verbose_name_plural	Datensätze	datasets	jeux de données	raccolte di dati
help	/rdmo/question[58]/help	Beispiele sind Überprüfung auf Vollständigkeit, Datenabgleich, Stichprobenverfahren. Diese Maßnahmen dienen dazu Dokumentationsfehler und rechnerische Auffälligkeiten zu ermitteln.	Examples are checks for completeness, data reconciliation, sampling procedures. These measures serve to identify documentation errors and arithmetical anomalies.	Par exemple le contrôle d'intégrité, la comparaison des sonnée, procédures d'échantillonnage. Ces mesures aident à découvrir des erreurs dans la documentation et des anomalies numériques.	Ad esempio il controllo di completezza, il confronto con altri dati, procedure di campionamento. Queste misure servono a individuare errori di documentazione e anomalie numeriche.

text	/rdmo/question[58]/text	Welche Maßnahmen zur Qualitätssicherung werden für diesen Datensatz ergriffen?	Which measures of quality assurance are taken for this dataset?	Quelles mesures de contrôle de la qualité sont prises pour ce jeu de données ?	Quali misure per il controllo qualità vengono utilizzate per questa raccolta di dati?
verbose_name	/rdmo/question[58]/verbose_name				
verbose_name_plural	/rdmo/question[58]/verbose_name_plural				
title	/rdmo/questionset[25]/title	Datenintegration	Data integration	Intégration de données	Integrazione dei dati
help	/rdmo/questionset[25]/help				
verbose_name	/rdmo/questionset[25]/verbose_name				
verbose_name_plural	/rdmo/questionset[25]/verbose_name_plural				
help	/rdmo/question[59]/help	Wie wird z. B. Herkunft und Qualität der Daten dokumentiert?	How are the origin, quality, etc. of the data documented?	Comment sont documentées l’origine, la qualité etc. des données ?	Come vengono documentate l’origine, la qualità ecc. dei dati?
text	/rdmo/question[59]/text	Wird die Integration zwischen nachgenutzten und erzeugten Daten gewährleistet? Wenn ja, wie?	Is the integration between the re-used and newly created data ensured? If yes, by which means?	L'intégration entre les données réutilisées et nouvellement créées est-elle assurée ? Si oui, par quels moyens ?	L’integrazione tra i dati riutilizzati e quelli creati è assicurata? In caso affermativo, attraverso quali misure?
verbose_name	/rdmo/question[59]/verbose_name				
verbose_name_plural	/rdmo/question[59]/verbose_name_plural				
title	/rdmo/questionset[26]/title	Kosten	Costs	Coûts	Costi
help	/rdmo/questionset[26]/help				
